fa_jahr;gnr;gname;mwb_bj3_bj5;mStf;ordSt;nachSt;persSt;grstSt;handSt;erbSt;motfSt;konz;nve_mit;korr;rp_total;rp_pEinw;ri;MA;fehlRess;hFA_absch;bs_ra_proz;bs_ra_fr;ra
2020;1082;Büron;2363.1666667;2.363559598;4938823.3226;19575.533333;31425;149318.81667;299778.41667;30010.916667;53590.333333;63531.241667;246173.27333;281.45833333;5832508.3126;2468.0901245;73.993481741;86.4;977939;0;0;0;977939
2020;1083;Buttisholz;3260.5;2.1663568792;6940238.9288;77130.75;42225;111494.28333;77190.5;33869.683333;90867.666667;95988.2;375406.36;0;7844411.3721;2405.8921552;72.128783098;86.4;1552075;0;0;0;1552075
2020;1084;Eich;1670.5;1.5;7261161.3808;71026.883333;25298.333333;382857.71667;132991.66667;183474.93333;47954.333333;41848.875;27680.37;0;8174294.4924;4893.3220547;146.70207239;86.4;0;673344;0;0;0
2020;1085;Geuensee;2859.8333333;2.3;6597792.399;11838.483333;36783.333333;242292.88333;283100.7;10643.566667;64324.333333;48217.9;0;1052.825;7296046.424;2551.2138553;76.485535899;86.4;945753;0;0;0;945753
2020;1086;Grosswangen;3156.8333333;2.080089374;6341313.1553;20799.15;42428.333333;158662.26667;127936.18333;107762.95;93080.666667;79263.57;156966.45333;0;7128212.7286;2258.0263118;67.695756736;86.4;1969515;0;0;0;1969515
2020;1088;Hildisrieden;2172.3333333;1.8150917692;6347498.5514;23822.583333;30138.333333;400410.91667;249633.61667;74157.383333;52199.666667;44419.783333;10613.273333;0;7232894.1081;3329.5507633;99.820120489;86.4;0;274556;0;0;0
2020;1089;Knutwil;2149.6666667;2.15;5473797.7527;10228.766667;29108.333333;348743.9;129565.61667;44805.583333;57282.333333;48177.183333;37445.783333;0;6179155.2527;2874.4713534;86.176814002;86.4;16003;0;0;0;16003
2020;1091;Mauensee;1373.1666667;2.1;4468711.6207;11930.533333;20683.333333;112690.35;131748;0;37019;30404.133333;0;379.66666667;4813566.6373;3505.4496691;105.09357965;86.4;0;216289;0;0;0
2020;1093;Neuenkirch;6799;2.0494540811;16096268.076;42927.55;94641.666667;719806.11667;654380.26667;58084.883333;170928.66667;147429.825;2760.29;0;17987227.341;2645.5695457;79.314324842;86.4;1606918;0;0;0;1606918
2020;1094;Nottwil;3667.6666667;2.0329583719;9225296.7066;26060.983333;50333.333333;316931;233735.83333;98019.55;93244.666667;85225.725;0;0;10128847.798;2761.6598559;82.794718918;86.4;441059;0;0;0;441059
2020;1095;Oberkirch;4440.8333333;1.65;13658780.483;25096.45;64058.333333;481017.23333;568105.75;35961.516667;99299.666667;90788.116667;0;0;15023107.55;3382.9478439;101.42096799;86.4;0;603223;0;0;0
2020;1097;Rickenbach;3208;2.25;7185342.4475;34036.016667;42741.666667;372491.86667;182168.48333;48404.983333;80504;92788.981667;16404.123333;0;8054882.5692;2510.8736188;75.276133324;86.4;1190303;0;1.51;162051;1352354
2020;1098;Ruswil;6861.3333333;2.2;14772114.972;84334.233333;94241.666667;504413.83333;378265.3;35858.633333;207440.66667;156353.43833;382767.21333;4654.6666667;16620444.624;2422.3345254;72.621726287;86.4;3153341;0;0;0;3153341
2020;1099;Schenkon;2786.5;1.2333727161;13379691.452;49668.633333;41208.333333;675027.51667;315064.36667;31867.066667;65761.333333;65475.283333;171583.18;0;14795347.166;5309.6526703;159.18368783;86.4;0;1328447;0;0;0
2020;1100;Schlierbach;831.33333333;1.75;1674316.7867;663.95;10900;70933.566667;64129.733333;1501.95;27602.666667;16030.583333;0;1735.925;1867815.1617;2246.7704431;67.358305156;86.4;528018;0;0;0;528018
2020;1102;Sempach;4138.1666667;2.0481801974;13773052.637;243096.48333;56033.333333;364226.95;196875.41667;269186.25;99265;87207.425;0;0;15088943.495;3646.2870422;109.31589207;86.4;0;754928;0;0;0
2020;1103;Sursee;9585.3333333;1.85;30920263.748;70526.733333;145741.66667;1582345.7333;914224.61667;226820.16667;190659.33333;303986.28333;525332.67667;0;34879900.958;3638.8824202;109.09390108;86.4;0;1429728;0;0;0
2020;1104;Triengen;4551.6666667;1.7937653073;10912115.817;61907.433333;60791.666667;369659.16667;202198.95;81494.916667;123531;135502.025;485703.17667;0;12432904.152;2731.5058555;81.890700276;86.4;684616;0;2.51;381135;1065751
2020;1107;Wolhusen;4317.5;2.4654135659;8867668.0867;48340.483333;56641.666667;237380.6;204010.65;36899.65;106413.66667;95005.22;30174.393333;0;9682534.4167;2242.6252268;67.234031335;86.4;2760137;0;0;0;2760137
2020;1121;Alberswil;651;2.15;1269820.9959;285.85;9433.3333333;24871.066667;29819.2;271.76666667;18277;24519.3;27060.723333;0;1404359.2359;2157.2338493;64.673993002;86.4;471768;0;0;0;471768
2020;1122;Altbüron;999.5;2.4;2392074.7011;5041.3333333;13850;22868.883333;20865.666667;2912.7;30305.666667;23396.075;0;0;2511315.0261;2512.5713117;75.327030254;86.4;369160;0;0;0;369160
2020;1123;Altishofen;1956;1.8603906756;5383217.3082;38484.45;25816.666667;26648.25;39527.233333;9566.8;61878.333333;70235.375;247524.28333;0;5902898.6999;3017.8418711;90.475070245;86.4;0;78405;0;376510;376510
2020;1125;Dagmersellen;5254.8333333;1.95;14098727.66;77272.216667;74400;715402.93333;393848.15;173004.48333;139640;198766.51667;302996.01833;0;16174057.978;3077.9392898;92.276794261;86.4;0;303765;0;0;0
2020;1127;Egolzwil;1428.1666667;2.0673092145;3668423.5465;1383.2166667;21341.666667;321520.65;110171.51667;21173.483333;33715;33554.858333;95501.283333;0;4306785.2215;3015.6040762;90.407981026;86.4;0;56305;0;0;0
2020;1128;Ettiswil;2664.5;2.15;5188728.964;44983.233333;36608.333333;122729.43333;125523.73333;20816.25;71351;53142.755;62063.456667;0;5725947.159;2148.9762278;64.426429041;86.4;1952918;0;0;0;1952918
2020;1129;Fischbach;714.83333333;2.4;1166868.8124;943.38333333;9775;45052.033333;44701.233333;18406.333333;27438.666667;14606.606667;85680.34;0;1413472.4091;1977.3454079;59.280927337;86.4;646617;0;0;0;646617
2020;1130;Gettnau;1126.5;2.4;1824821.4527;67051.9;14116.666667;106950.15;61126.583333;5921.1333333;31356.333333;40710.213333;60695.386667;0;2212749.8194;1964.269702;58.888916935;86.4;1033728;0;0;0;1033728
2020;1131;Grossdietwil;839.83333333;2.3646987917;1642114.0364;1110.4166667;11750;66097.233333;58652.666667;19101.216667;33275;25995.455;35643.536667;0;1893739.5614;2254.8992595;67.602007531;86.4;526589;0;0;0;526589
2020;1132;Hergiswil;1888.5;2.2;2587970.7985;7871.6333333;25066.666667;18164.466667;31386.666667;11364.833333;89055;34715.716667;43921.71;0;2849517.4918;1508.8787354;45.236269959;86.4;2592981;0;0;0;2592981
2020;1135;Luthern;1290.3333333;2.4;1552283.0884;2619;17066.666667;67806.683333;30942.383333;46234.2;88895.333333;25017.883333;0;0;1830865.2384;1418.9087355;42.538964267;86.4;1887767;0;0;0;1887767
2020;1136;Menznau;2897;2.6;5249179.3247;44856.983333;38850;117149.9;120634.91667;40906.233333;106907;150688.19833;0;0;5869172.5564;2025.9484143;60.738048224;86.4;2479738;0;0;0;2479738
2020;1137;Nebikon;2582;1.9;6825781.6529;233217.56667;33650;138311.7;167799.8;248673.3;54933.666667;65911.191667;25858.346667;0;7794137.2246;3018.6433867;90.499099729;86.4;0;104108;0;0;0
2020;1139;Pfaffnau;2556;1.9986138267;5854518.7876;5833.6333333;37333.333333;302063.78333;222662.7;58636.316667;76525.333333;66954.168333;100676.2;0;6725204.256;2631.1440751;78.881848416;86.4;640973;0;0;0;640973
2020;1140;Reiden;6983;2.3;15463880.678;176009.23333;96500;703996.26667;408175.53333;67171.583333;178251.66667;179483.33833;0;0;17273468.3;2473.645754;74.160039827;86.4;2850950;0;0;0;2850950
2020;1142;Roggliswil;670.16666667;2.3;1336873.6977;0;10008.333333;51905.866667;34124.483333;14465.15;23069.333333;15408.208333;30544.59;0;1516399.6627;2262.7202129;67.836480156;86.4;414964;0;0;0;414964
2020;1143;Schötz;4234.1666667;2.2981566608;8392893.2415;103411.36667;56741.666667;294072.26667;244874.01667;110918.28333;104938;89456.833333;232948.97;0;9630254.6449;2274.4155823;68.187107995;86.4;2572257;0;0;0;2572257
2020;1145;Ufhusen;890.83333333;2.4;1377956.1895;2358.1666667;12375;48725.366667;30346.4;1530.5666667;37569.666667;4316.1083333;65519.866667;0;1580697.3311;1774.402991;53.196702182;86.4;986609;0;0;0;986609
2020;1146;Wauwil;2049.5;2.15;4562552.8879;3890.3333333;28433.333333;459956.93333;310968.65;70886.133333;42590;37109.316667;0;0;5516387.5879;2691.5772568;80.693638627;86.4;390099;0;0;0;390099
2020;1147;Wikon;1493.5;2.1;3195788.0668;6128.0333333;20592.133333;187419.2;80624.383333;511.08333333;42242;45411.053333;76665.146667;0;3655381.1001;2447.5266823;73.37698858;86.4;648760;0;0;0;648760
2020;1151;Willisau;7725.6666667;2.2;17603076.243;69782.383333;108291.66667;566214.75;226556.91667;104433.95;216313.33333;202142.12;504938.61;0;19601749.973;2537.2244;76.066131236;86.4;2662971;0;0;0;2662971
2020;1150;Zell;2007.8333333;2.1;4501731.3514;686.71666667;27541.666667;461557.21667;183765.8;13799.433333;62004;80671.458333;0;0;5331757.6431;2655.4781986;79.611386816;86.4;454649;0;0;0;454649
2021;1001;Doppleschwand;773;2.4;1091097.3584;0;10050;86899.116667;35642.733333;14273.983333;26934;17028.228333;59221.453333;0;1341146.8734;1734.9894869;50.763554806;86.4;941496;0;0;0;941496
2021;1002;Entlebuch;3332.8333333;2.2160647084;6048139.1394;44159.15;46066.666667;168030.43333;74068.033333;113145.75;164411.66667;83644.336667;131975.18667;0;6873640.3627;2062.401469;60.343207145;86.4;2968106;0;0;0;2968106
2021;1010;Escholzmatt-Marbach;4350;2.112575461;7055065.4422;36012.7;60541.666667;196540.16667;150411;96570.033333;270146.33333;147108.57167;109753.51167;0;8122149.4255;1867.1607875;54.630716601;86.4;4723256;0;1.15;171498;4894754
2021;1004;Flühli;1938.1666667;2.0965315085;3037653.4686;17099.916667;23600;262530.21667;163749.86667;3783.4833333;225913.33333;100072.20333;219170.53667;0;4053573.0252;2091.447085;61.193044409;86.4;1669769;0;0;0;1669769
2021;1005;Hasle;1748;2.4;2562743.79;11033.133333;24816.666667;92522.95;56280.333333;41612.55;104460.66667;50871.735;57985.006667;0;3002326.8317;1717.578279;50.254125317;86.4;2159459;0;0;0;2159459
